           Persona      |S/F |PP |Res. Fecha                          | Res. P/S   | Res. Nro.   |  OI  |                Lugar Destino       |    Evento Destino     | Mision Días | Mision Inicio | Mision Fin   | Pasaje U$S | Seg. Viaj. U$S | Viático U$S | Devolución U$S |  Fecha Informe |Informe U$S | Total del viaje U$S  |      Observaciones
Agazzi, Ernesto         |Sen |FA |09/08/10                            | Sec   |     60/2010      |  MER |Fortaleza, Rep. Federativa de Brasil| 2da. Conferencia Internacional - ICIDI 2010                     | 4  |  15/08/10 |   18/08/10 |    516,00    |  47,50 |   628,00  |   328,00 | 20/08/10  |      300,00  |     863,50
Agazzi, Ernesto         |Sen |FA |10/11/10                            | Sec   |     120/10       |  MER |Asunción, Paraguay                  | Reunión Com. Asuntos Infr., Rec. Energ., Transp. Agric. Pesca   | 4  |  17/11/10 |   20/11/10 |    277,00    |  48,00 |   760,00  |   452,00 | 22/11/10  |      308,00  |     633,00
Astori, Danilo          |Sen |FA |12/05/10                            | Sec   |     18/2010      |  OTR |Asunción, Paraguay                  | 199o. Aniversario de la Indep. Nacional del Paraguay            | 3  |  13/05/10 |   15/05/10 |              |  24,00 |           |          |           |              |    24,00
Astori, Danilo          |Sen |FA |13/05/10                            | Sec   |     19/2010      |  OTR |Madrid, España                      | VI Cumbre de Amér. Latina y el Caribe - Unión Europea           | 4  |  16/05/10 |   19/05/10 |              |  32,00 |           |          |           |              |    32,00
Astori, Danilo          |Sen |FA |01/07/10                            | Sec   |     48/2010      |  UIP |Ginebra - Suiza                     | 3a. Conferencia de Presidentes de Parlamentos                   | 7  |  17/07/10 |   23/07/10 |  3.195,00    |  56,00 | 3.184,00  |          | 01/09/10  |     3.184,00 |    6.435,00
Astori, Danilo          |Sen |FA |02/09/10                            | Sec   |   75-83/2010     |  OTR |Valparaiso, Chile                   | Bicentenario de la Independencia Nacional de Chile              | 3  |  17/09/10 |   19/09/10 |              |  40,00 |           |          |           |              |    40,00
Astori, Danilo          |Sen |FA |15/11/10                            | Sec   |    124/2010      |  OTR |República de Corea del Sur          | Visita Oficial a la República de Corea del Sur                  | 9  |  20/11/10 |   28/11/10 |              |  86,00 |           |          |           |              |    86,00
Astori, Danilo          |Sen |FA |10/02/11                            | Sec   |    144/2011      |  OTR |Mumbai, República de la India       | Visita Oficial                                                  | 10 |  18/02/11 |   27/02/11 |              |  80,00 |           |          |           |              |    80,00
Astori, Danilo          |Sen |FA |11/07/11                            | Sec   |  210-216/2011    |  OTR |Valparaiso, Chile                   | Congreso Bicentenario de la Independencia de Chile              | 4  |  03/07/11 |   06/07/11 |    440,00    |  90,00 |   204,00  |          |           |              |   734,00
Astori, Danilo          |Sen |FA |22/07/11                            | Sec   |    219/2011      |  OTR |Santiago de Chile, Chile            | Seminario Internacional sobre Estado y Desarrollo               | 3  |  24/07/11 |   26/07/11 |              |  40,00 |           |          |           |              |    40,00
Astori, Danilo          |Sen |FA |15/09/11                            | Sec   |    255/2011      |  OTR |Nueva York, EEUU                    | Asamblea General de Naciones Unidas                             | 8  |  20/09/11 |   27/09/11 |              |  80,00 |           |          |           |              |    80,00
Baraibar, Carlos        |Sen |FA |02/03/10                            | Sec   |     01/2010      |  PAR |Bs. As. - Argentina                 | XIII Reunión Com. M. Ambiente y Turismo del P. Latinoam.        | 4  |  03/03/10 |   06/03/10 |              |  47,50 |           |          |           |              |    47,50
Baraibar, Carlos        |Sen |FA |21/05/10                            | Sec   |     29/2010      |  PAR |Ciudad de México,, México           | VI Seminario del Foro Parlamentario Interamericano              | 6  |  25/05/10 |   30/05/10 |              |  48,00 |           |          |           |              |    48,00
Baraibar, Carlos        |Sen |FA |03/09/10                            | Sec   |     76/2010      |  PAR |Ciudad de Panamá, Panamá            | Reunión Junta Directiva del Parlatino                           | 3  |  09/09/10 |   11/09/10 |  1.390,00    |  29,00 |   821,00  |          | 12/11/10  |              | 2.240,00
Baraibar, Carlos        |Sen |FA |19/11/10                            | Sec   |    126/2010      |  PAR |Ciudad de Panamá, Panamá            | Reunión Junta Directiva del Parlamento Latinoamericano          | 5  |  01/12/10 |   05/12/10 |  1.395,00    |  40,00 | 1.370,00  |          | 03/02/11  |              | 2.805,00
Baraibar, Carlos        |Sen |FA |07/02/11                            | Sec   |    143/2011      |  PAR |Ciudad de Panamá, Panamá            | Reunión Mesa Directiva del Parlamento Latinoamericano           | 4  |  10/02/11 |   13/02/11 |  1.856,00    |  48,00 | 1.100,00  |          | 07/04/11  |              | 3.004,00
Baraibar, Carlos        |Sen |FA |11/04/11                            | Sec   |    170/2011      |  PAR |Ciudad de Panamá, Panamá            | 124 Conferencia de l Unión Interparlamentaria                   | 5  |  13/04/11 |   17/04/11 |  1.292,00    |  90,00 | 1.100,00  |          |           |              | 2.482,00
Birriel, Graciela       |Fun | - |13/09/11                            | Sec   |    260/2011      |  OTR |Bs. As., Argentina                  | Prog. Actividades de Capacitación Adquis. y Contrataciones      | 2  |  14/09/11 |   15/09/11 |    251,00    |        |   263,00  |   140,00 | 16/09/11  |      123,00  |     374,00
Canessa, Alberto        |Fun | - |13/09/11                            | Sec   |    260/2011      |  OTR |Bs. As., Argentina                  | Prog. Actividades de Capacitación Adquis. y Contrataciones      | 2  |  14/09/11 |   15/09/11 |    251,00    |        |   263,00  |   140,00 | 16/09/11  |      123,00  |     374,00
Dalmás, Susana          |Sen |FA |21/05/10                            | Sec   |     29/2010      |  PAR |Ciudad de México,, México           | VI Seminario del Foro Parlamentario Interamericano              | 6  |  26/05/10 |   31/05/10 |              |  48,00 |           |          |           |              |    48,00
Dalmás, Susana          |Sen |FA |20/09/10                            | Sec   |     86/2010      |  OTR |Bs. As., Argentina                  | III Cong. Intern. s/Moderniz. y G. de Calidad del P. Legislativo| 5  |  24/09/10 |   28/09/10 |    112,00    |  47,50 |   948,00  |   223,00 | 14/10/10  |      725,00  |     884,50
Dalmás, Susana          |Sen |FA |21/10/11                            | Sec   |    274/2011      |  OTR |Asunción, Paraguay                  | VII Foro Parlamentario Iberoamericano                           | 3  |  23/10/11 |   25/10/11 |    510,00    |  30,00 |   605,00  |  250,00  | 03/11/11  |      355,00  |     895,00
Da Rosa, Eber           |Sen |N  |05/11/10                            | Sec   |     117/10       |  OTR |Bs. As., Argentina                  | VI Foro Parl. Iberoam. "Educación: factor de inclusión social"  | 4  |  10/11/10 |   13/11/10 |    240,00    |  47,50 | 1.270,00  |          | 17/11/10  |  1.270,00    | 1.557,50
Da Rosa, Eber           |Sen |N  |15/11/10                            | Sec   |    124/2010      |  OTR |República de Corea del Sur          | Visita Oficial a la República de Corea del Sur                  | 9  |  20/11/10 |   28/11/10 |  2.553,00    |  86,00 | 1.170,00  |          | 07/12/10  |  1.170,00    | 3.809,00
Desalvo, María Celia    |Fun | - |07/06/10                            | Sec   |     35/2010      |  OTR |La Antigua - Rep. de Guatemala      | Curso "Estado Democrático y Control Parlamentario"              | 8  |  27/06/10 |   04/07/10 |  1.094,00    |  76,00 |   638,00  |          | 09/07/10  |    638,00    | 1.808,00
